"Price","Price"
"Fixed","Fixed"
"Percent","Percent"
"No","No"
"Yes","Yes"
"Zip/Postal Code is Range","Zip/Postal Code is Range"
"Zip/Postal Code","Zip/Postal Code"
"'*' - matches any.","'*' - matches any."
"Zip/Postal Code From","Zip/Postal Code From"
"Zip/Postal Code To","Zip/Postal Code To"
"Amount","Amount"
"Apply","Apply"
"Submit","Submit"
"Add Price","Add Price"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure you want to delete price?","Are you sure you want to delete price?"
"Duplicated price.","Duplicated price."
"Zone Prices","Zone Prices"
"The price was not found.","The price was not found."
"The price has been saved.","The price has been saved."
"An error occurred while saving the price: %s.","An error occurred while saving the price: %s."
"The price was not found.","The price was not found."
"The price has been deleted.","The price has been deleted."
"Enable Zone Pricing","Enable Zone Pricing"
"You can set product discounts by zones is enabled.","You can set product discounts by zones is enabled."
