"Sheepla","Sheepla"
"Sheepla tracking no.","Numer trackingowy Sheepla"
"Carrier","Przewoźnik"
"Carrier tracking no.","Numer trackingowy przewoźnika"
"Shipping label", "List przewozowy"
"Summary document", "Dokument zbiorczy"
"Shipment status", "Status przesyłki"
"Create another Sheepla shipment", "Wygeneruj kolejną przesyłkę Sheepla"
"Download","Pobierz"
"InPreparation", "W przygotowaniu"
"AwaitingManifest", "Oczekuje na manifest"
"Shipment", "Przesyłka"
"Settings", "Ustawienia"
"API url", "API url"
"API key", "Klucz API"
"Admin API key", "Klucz API administracyjny"
"Public API key", "Klucz API publiczny"
"User,"Użytkownik"
"Password","Hasło"
"Autoconfim", "Zatwierdzaj automatycznie"
"Shipping method | Option 1", "Dostawa | Opcja 1"
"Shipping method | Option 2", "Dostawa | Opcja 2"
"Shipping method | Option 3", "Dostawa | Opcja 3"
"Shipping method | Option 4", "Dostawa | Opcja 4"
"Shipping method | Option 5", "Dostawa | Opcja 5"
"Shipping method | Option 6", "Dostawa | Opcja 6"
"Shipping method | Option 7", "Dostawa | Opcja 7"
"Shipping method | Option 8", "Dostawa | Opcja 8"
"Shipping method | Option 9", "Dostawa | Opcja 9"
"Shipping method | Option 10", "Dostawa | Opcja 10"
"Name", "Nazwa"
"Active", "Włączona"
"Description", "Opis"
"Price", "Cena"
"Type", "Typ"
"Payment methods", "Metody płatności"
"Shipment template", "Szablon przesyłki",
"Hidden", "Ukryta"
"Index", "Kolejność"
"Name shown to customer", "Nazwa wyświetlana klientowi"
"Description shown to customer", "Opis wyświetlany klientowi"
"Shipping cost visible to customer", "Koszt dostawy widoczny dla klienta"
"Type determines the way this option is presented to the customer","Typ określa sposób prezentowania opcji klientowi"
"Payment methods available for this shipping option","Opcje płatności dostępne dla tej metody dostawy"
"Shipment template defined in Sheepla used to create shipments","Szablon przesyłki, na podstwie którego będą tworzone przesyłki"
"Available to administrators only","Czy ta opcja dostawy ma być dostępna wyłącznie dla administratorów"
"Display order", "Większa liczba oznacza dalsze miejsce"
"Machine","Paczkomat"
"Choose", "Wybierz"
"Cancel", "Anuluj"
"Robust delivery by Sheepla!","Sprawną dostawę produktów zapewnia Sheepla"
"Change, "Zmień"
"Choose a city", "Wybierz miasto"
"City", "Miasto",
"Machine picker", "Wyszukiwanie Paczkomatu"
"Instruction", "Instrukcja"
"From the drop-down list at the top of the page select the town where you intend to pick up purchases.","Z rozwijanej listy na górze strony wybierz miasto, w którym zamierzasz odebrać zakupy."
"See a list of available machines in a given location.","Zapoznaj się z listą dostępnych Paczkomatów w danej miejscowości."
"On the right side is a map so you can see exactly where there are individual machines. After clicking on the icon showing the exact location you can read more detailed information.","Po prawej stronie znajduje się mapka, dzięki której możesz sprawdzić gdzie dokładnie znajdują się poszczególne maszyny. Klikając na ikonkę wskazującą dokładną lokalizację możesz zapoznać się z bardziej szczegółowymi informacjami."
"To select a Paczkomat use the link "Select", which is located on the right of the list and in the description of the location on the map.","Aby wybrać Paczkomat skorzystaj z linków "Wybierz", które znajdują się po prawej stronie listy oraz pod opisem lokalizacji Paczkomatu na mapce."
"Available machines","Dotępne Paczkomaty"
"Street","Ulica"
"Postal code","Kod poczt."
"Machinde","Paczkomat"
"Options","Opcje"
"Mobile no. to receive SMS notifications:","Nr telefonu do powiadomień SMS:"
"I've read and I accept terms of use of Paczkomaty 24/7 service.","Zapoznałem się i akceptuję Regulaminu świadczenia usługi Paczkomaty 24/7."
