"eDost Shipping Module","Модуль доставки eDost.ru. (СПСР, Экспресс-Курьер, EMS, DHL, UPS и др.)"
"ID shop", "Идентификатор магазина"
"Password shop", "Пароль для доступа к серверу расчетов edost.ru"
"Hide error", "Скрывать ошибки"
"Show Message if not calc", "Вывод сообщения при невозможности расчета"
"Message if not calc", "Сообщение при невозможности расчета"
"Automatic do not calculate", "В данный город автоматический расчет доставки не осуществляется. О возможности и стоимости доставки, пожалуйста, уточните у менеджера."
"edost_err2","Доступ к расчету заблокирован"
"edost_err3","Не верные данные магазина (пароль или идентификатор)"
"edost_err4","Не верные входные параметры"
"edost_err5","Не верный город или страна"
"edost_err6","Внутренняя ошибка сервера расчетов"
"edost_err7","Не заданы компании доставки в настройках магазина"
"edost_err8","Сервер расчета не отвечает"
"edost_err9","Превышен лимит расчетов за день"
"edost_err10","Не верный формат XML"
"edost_err11","Не указан вес"
"edost_err12","Не заданы данные магазина (пароль или идентификатор)"
"edost_err14","Настройки сервера не позволяют отправить запрос на расчет"
"edost_err0","Ошибка расчета"
"Enabled","Разрешено"
"Название","Заголовок"
"New order status","Новый статус заказа"
"Sort order","Порядок сортировки"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Максимальный вес отправления (уточните этот параметр у перевозчика)"
"Handling fee","Стоимость обработки"
"Calculate Handling Fee","Расчет стоимости обработки заказа"
"Free shipping with minimum order amount","Доступна бесплатная доставка"
