"Filters of type ""%s"" can not be displayed - no template installed.","Filters of type ""%s"" can not be displayed - no template installed."
"Text (Multiple Select Enabled)","Ссылочно (при выборе заменять)"
"Text (One Item Can Be Selected At A Time)","Ссылочно (при выборе объединять)"
"Category","Категория"
"Fields With Non-Default Values (Bit Mask)","Fields With Non-Default Values (Bit Mask)"
"Is Visible In Category","Видим в категории"
"Is Visible In Search","Видим в поиске"
"Position","Позиция"
"All filters are shown in layered navigation ordered by position","Все фильтры показываются последовательно по номеру позиции"
"Can Store Customer Select Multiple Values","Возможность покупателю выбирать множественно фильтры"
"Code","Код"
"Name","Имя"
"Use Product Attribute","Использовать стандартную"
"Display Filter Items As","Отображать значения фильтра как"
"Position (selected at the top)","Позиция"
"Name","Имя"
"Name (selected at the top)","Name (selected at the top)"
"Count","Count"
"Count (selected at the top)","Count (selected at the top)"
"Logical OR","Logical OR"
"Logical AND","Logical AND"
"Reverse Mode","Reverse Mode"
"If enabled, shows all items as selected and lets user to deselect items he/she is not interested in","If enabled, shows all items as selected and lets user to deselect items he/she is not interested in"
"not","not"
