"";"sku";"meta_title";"meta_description";"meta_keyword";"type";"attribute_set";"tax_class_id";"status";"weight";"name";"price";"description";"short_description"
"<div id=""artikul-p"">Артикул: 56970 </div><div id=""proizvod-p""><div id=proizvod-p-text>Производитель: </div><img src='/media/img.ashx.jpg'></div>";"56970";"Подобрать недорогой надувной бассейн Intex Easy set";"интернет магазин арт. 56970";"Надувной бассейн Intex Easy set арт. 56970";"simple";"Бассейны Круглые";"Нет";"Включено";"6.8000";"Надувной бассейн Intex Easy set арт. 56970";"1900.0000";"<p>Комплектация:<br />Бассейн ""Easy Set 244x76см. Темно-голубой<br />DVD с инструкциями по установке<br />Фильтрующий насос не входит в комплектацию<br /><br />Особенности:<br />Бассейн легко и быстро устанавливается без применения технических средств. Технология SUPER-TOUGH дает стенкам бассейна тройную прочность. Стенки сделаны из трех отдельных слоев: два слоя плотного винила и один - внешний - полиэстр для особой прочности. Борта бассейна поддерживаются надувным кольцом, которое, по мере заполнения бассейна, поднимается вместе с уровнем воды, расправляя стенки. Сливной клапан легко присоединяется к садовому шлангу, т.е. слить воду можно в любое удобное место. Рекомендован детям с 6 лет.</p>
<p>&nbsp;</p>";""
"<div id=""artikul-p"" >Артикул: 56972</div>
<div id=""proizvod-p"" >
<div id=""proizvod-p-text"" >Производитель:</div>
<img src=""/media/img.ashx.jpg"" alt="""" /></div>";"56972";"Купить качественный надувной бассейн Intex Easy set в интернет магазине арт. 56972";"Надувной бассейн Intex Easy set арт. 56970";"размер 244 см х 76 см";"simple";"Бассейны Круглые";"Нет";"Включено";"6.8000";"Надувной бассейн Intex Easy set арт. 56972";"3600.0000";"<p>Комплектация:<br />Бассейн ""Easy Set 244x76см. Темно голубой<br />DVD с инструкциями по установке<br />Фильтрующий насос 2006 л/ч<br /><br />Особенности:<br />Бассейн легко и быстро устанавливается без применения технических средств. Стенки сделаны из трех отдельных слоев: два слоя плотного винила и один - внешний - полиэстр для особой прочности. Борта бассейна поддерживаются надувным кольцом, которое, по мере заполнения бассейна, поднимается вместе с уровнем воды, расправляя стенки. Сливной клапан легко присоединяется к садовому шлангу, т.е. слить воду можно в любое удобное место. Рекомендован детям с 6 лет.</p>";""
"<div id=""artikul-p"">Артикул: 54910 </div><div id=""proizvod-p""><div id=proizvod-p-text>Производитель: </div><img src='/media/img.ashx.jpg'></div>";"54910";"Купить недорогой надувной бассейн Intex Easy set";"интернет магазин арт. 56970";"Надувной бассейн Intex Easy set арт. 56970";"simple";"Бассейны Круглые";"Нет";"Включено";"6.8000";"Надувной бассейн Intex Easy set арт. 54910";"2000.0000";"<p>Комплектация:<br />Бассейн ""Easy Set 244x76см. Прозрачный<br />DVD с инструкциями по установке<br />Фильтрующий насос не входит в комплектацию<br /><br />Особенности:<br />Бассейн легко и быстро устанавливается без применения технических средств. Технология SUPER-TOUGH дает стенкам бассейна тройную прочность. Стенки сделаны из трех отдельных слоев: два слоя плотного винила и один - внешний - полиэстр для особой прочности. Борта бассейна поддерживаются надувным кольцом, которое, по мере заполнения бассейна, поднимается вместе с уровнем воды, расправляя стенки. Сливной клапан легко присоединяется к садовому шлангу, т.е. слить воду можно в любое удобное место. Рекомендован детям с 6 лет.</p>";""
"<div id=""artikul-p"">Артикул: 54912 </div><div id=""proizvod-p""><div id=proizvod-p-text>Производитель: </div><img src='/media/img.ashx.jpg'></div>";"54912";"Заказать качественный надувной бассейн Intex Easy set";"интернет магазин арт. 56972";"Надувной бассейн Intex Easy set арт. 56970";"simple";"Бассейны Круглые";"Нет";"Включено";"6.8000";"Надувной бассейн Intex Easy set арт. 54912";"3700.0000";"<p>Комплектация:<br />Бассейн ""Easy Set 244x76см. Прозрачный<br />DVD с инструкциями по установке<br />Фильтрующий насос 2006 л/ч<br /><br />Особенности:<br />Бассейн легко и быстро устанавливается без применения технических средств. Стенки сделаны из трех отдельных слоев: два слоя плотного винила и один - внешний - полиэстр для особой прочности. Борта бассейна поддерживаются надувным кольцом, которое, по мере заполнения бассейна, поднимается вместе с уровнем воды, расправляя стенки. Сливной клапан легко присоединяется к садовому шлангу, т.е. слить воду можно в любое удобное место. Рекомендован детям с 6 лет.</p>";""
"<div id=""artikul-p"">Артикул: 56920 </div><div id=""proizvod-p""><div id=proizvod-p-text>Производитель: </div><img src='/media/img.ashx.jpg'></div>";"56920";"Заказать качественный надувной бассейн Intex Easy в интернет магазине set арт. 56920";"Надувной бассейн Intex Easy set арт. 56920";"надувной бассейн Intex Easy set";"simple";"Бассейны Круглые";"Нет";"Включено";"8.8000";"Надувной бассейн Intex Easy Set арт. 56920";"2460.0000";"<p>Комплектация: <br />Бассейн Intex Easy Set <br /> DVD с полным описанием процесса установки и демонтажа<br /><br />Особенности:<br />Стенки сделаны из трех отдельных слоев: два слоя плотного винила и один - внешний - полиэстр для особой прочности. Борта бассейна Intex Easy Set поддерживаются надувным кольцом, которое, по мере заполнения бассейна, поднимается вместе с уровнем воды, расправляя стенки. Сливной клапан легко присоединяется к садовому шлангу, т.е. слить воду можно в любое удобное место. Рекомендован</p>";""
"<div id=""artikul-p"">Артикул: 56922 </div><div id=""proizvod-p""><div id=proizvod-p-text>Производитель: </div><img src='/media/img.ashx.jpg'></div>";"56922";"Подобрать недорогой надувной бассейн Intex Easy в интернет магазине set арт. 56922";"Надувной бассейн Intex Easy set арт. 56922";"надувной бассейн Intex Easy set";"simple";"Бассейны Круглые";"Нет";"Включено";"12.3000";"Надувной бассейн Intex Easy Set арт. 56922";"4140.0000";"<p>Комплектация:<br />Бассейн Intex Easy Set <br />Фильтрующий насос, производительность 2,006 л/час<br />DVD с полным описанием процесса установки и демонтажа<br /><br />Особенности:<br />Стенки сделаны из трех отдельных слоев: два слоя плотного винила и один - внешний - полиэстр для особой прочности. Сливной клапан легко присоединяется к садовому шлангу, т.е. слить воду можно в любое удобное место. Рекомендован детям с 6 лет.</p>";""
"<div id=""artikul-p"">Артикул: 54900 </div><div id=""proizvod-p""><div id=proizvod-p-text>Производитель: </div><img src='/media/img.ashx.jpg'></div>";"54900";"Подобрать качественный надувной бассейн Intex Easy в интернет магазине set арт. 54900";"Надувной бассейн Intex Easy set арт. 54900";"надувной бассейн Intex Easy set";"simple";"Бассейны Круглые";"Нет";"Включено";"8.8000";"Надувной бассейн Intex Easy Set арт. 54900";"2750.0000";"<p>Комплектация: <br />Бассейн Intex Easy Set <br /> DVD с полным описанием процесса установки и демонтажа<br /><br />Особенности:<br />Стенки сделаны из трех отдельных слоев: два слоя плотного винила и один - внешний - полиэстр для особой прочности. Борта бассейна Intex Easy Set поддерживаются надувным кольцом, которое, по мере заполнения бассейна, поднимается вместе с уровнем воды, расправляя стенки. Сливной клапан легко присоединяется к садовому шлангу, т.е. слить воду можно в любое удобное место. Рекомендован детям с 6 лет.</p>";""
"<div id=""artikul-p"">Артикул: 54902 </div><div id=""proizvod-p""><div id=proizvod-p-text>Производитель: </div><img src='/media/img.ashx.jpg'></div>";"54902";"Купить недорогой надувной бассейн Intex Easy в интернет магазине set арт. 54902";"Надувной бассейн Intex Easy set арт. 54902";"надувной бассейн Intex Easy set";"simple";"Бассейны Круглые";"Нет";"Включено";"12.3000";"Надувной бассейн Intex Easy Set арт. 54902";"4420.0000";"<p>Комплектация:<br />Бассейн Intex Easy Set <br />Фильтрующий насос, производительность 2,006 л/час<br />DVD с полным описанием процесса установки и демонтажа<br /><br />Особенности:<br />Стенки сделаны из трех отдельных слоев: два слоя плотного винила и один - внешний - полиэстр для особой прочности. Сливной клапан легко присоединяется к садовому шлангу, т.е. слить воду можно в любое удобное место. Рекомендован детям с 6 лет.</p>
";""
"<div id=""artikul-p"">Артикул: 56420 </div><div id=""proizvod-p""><div id=proizvod-p-text>Производитель: </div><img src='/media/img.ashx.jpg'></div>";"56420";"Заказать недорогой надувной бассейн Easy Set Pool в интернет магазине арт. 56420";"Надувной бассейн Easy Set Pool арт. 56420";"надувной бассейн Intex Easy set";"simple";"Бассейны Круглые";"Нет";"Включено";"13.8000";"Надувной бассейн Intex Easy Set Pool арт. 56420";"3800.0000";"<p>Комплектация:<br />Бассейн ""Easy Set 366x76 см. DVD с полным описанием процесса установки и демонтажа. Ремкомплект<br />Фильтр не входит в комплектацию<br /><br />Особенности:<br />Надувной бассейн Easy Set Pool 366x76 см легко и быстро устанавливается.<br />Технология SUPER-TOUGH дает стенкам бассейна тройную прочность. Стенки сделаны из трех отдельных слоев: два слоя плотного винила стойкого к ударам, растягиваниям, стираниям, солнечному свету, и один - полиэстр для укрепления стенок бассейна. Удобный сливной клапан присоединяется к садовому шлангу. Таким образом, воду можно слить в любое удобное место или, например, полить сад.</p>";""
"<div id=""artikul-p"">Артикул: 56422 </div><div id=""proizvod-p""><div id=proizvod-p-text>Производитель: </div><img src='/media/img.ashx.jpg'></div>";"56422";"Купить качественный надувной бассейн Easy Set Pool в интернет магазине арт. 56422";"Надувной бассейн Easy Set Pool арт. 56422";"надувной бассейн Intex Easy set";"simple";"Бассейны Круглые";"Нет";"Включено";"16.5000";"Надувной бассейн Intex Easy Set Pool арт. 56422";"5300.0000";"<p>Комплектация:<br />Бассейн ""Easy Set 366x76 см<br />DVD с полным описанием процесса установки и демонтажа<br />Ремкомплект<br />Насос фильтрующий для воды - 2006 л/час<br /><br />Особенности:<br />Надувной бассейн Easy Set Pool 366x76 см легко и быстро устанавливается.<br />Технология SUPER-TOUGH дает стенкам бассейна тройную прочность. Стенки сделаны из трех отдельных слоев: два слоя плотного винила стойкого к ударам, растягиваниям, стираниям, солнечному свету, и один - полиэстр для укрепления стенок бассейна.<br />Удобный сливной клапан присоединяется к садовому шлангу. Таким образом, воду можно слить в любое удобное место или, например, полить сад.</p>";""
"<div id=""artikul-p"">Артикул: 54904 </div><div id=""proizvod-p""><div id=proizvod-p-text>Производитель: </div><img src='/media/img.ashx.jpg'></div>";"54904";"Купить недорогой надувной бассейн Easy Set Pool в интернет магазине арт. 54904";"Надувной бассейн Easy Set Pool арт. 54904";"надувной бассейн Intex Easy set";"simple";"Бассейны Круглые";"Нет";"Включено";"13.8000";"Надувной бассейн Intex Easy Set Pool арт. 54904";"4100.0000";"<p>Комплектация:<br />Бассейн ""Easy Set 366x76 см. DVD с полным описанием процесса установки и демонтажа. Ремкомплект<br />Фильтр не входит в комплектацию<br /><br />Особенности:<br />Надувной бассейн Easy Set Pool 366x76 см легко и быстро устанавливается.<br />Технология SUPER-TOUGH дает стенкам бассейна тройную прочность. Стенки сделаны из трех отдельных слоев: два слоя плотного винила стойкого к ударам, растягиваниям, стираниям, солнечному свету, и один - полиэстр для укрепления стенок бассейна. Удобный сливной клапан присоединяется к садовому шлангу. Таким образом, воду можно слить в любое удобное место или, например, полить сад.</p>
<p>&nbsp;</p>";""
"<div id=""artikul-p"">Артикул: 54906 </div><div id=""proizvod-p""><div id=proizvod-p-text>Производитель: </div><img src='/media/img.ashx.jpg'></div>";"54906";"Подобрать качественный надувной бассейн Easy Set Pool в интернет магазине арт. 54906";"Надувной бассейн Easy Set Pool арт. 54906";"надувной бассейн Intex Easy set";"simple";"Бассейны Круглые";"Нет";"Включено";"16.5000";"Надувной бассейн Intex Easy Set Pool арт. 54906";"5600.0000";"<p>Комплектация:<br />Бассейн ""Easy Set 366x76 см<br />DVD с полным описанием процесса установки и демонтажа<br />Ремкомплект<br />Насос фильтрующий для воды - 2006 л/час<br /><br />Особенности:<br />Надувной бассейн Easy Set Pool 366x76 см легко и быстро устанавливается.<br />Технология SUPER-TOUGH дает стенкам бассейна тройную прочность. Стенки сделаны из трех отдельных слоев: два слоя плотного винила стойкого к ударам, растягиваниям, стираниям, солнечному свету, и один - полиэстр для укрепления стенок бассейна.<br />Удобный сливной клапан присоединяется к садовому шлангу. Таким образом, воду можно слить в любое удобное место или, например, полить сад.</p>";""
